,Symbol,Name,Sector,EV/EBIT,MV,TDebt,EBIT
66,BRK.B,Berkshire Hathaway,Financials,0.0,30897203200.0,4568999936.0,1394000000
67,BBY,Best Buy Co. Inc.,Consumer Discretionary,9.64311355932,30897203200.0,4568999936.0,1394000000
68,BIIB,BIOGEN IDEC Inc.,Health Care,14.8571789467,30897203200.0,4568999936.0,1394000000
69,BLK,BlackRock,Financials,15.434508457,30897203200.0,4568999936.0,1394000000
70,HRB,Block H&R,Financials,9.70788279764,30897203200.0,4568999936.0,1394000000
71,BA,Boeing Company,Industrials,25.6829542853,30897203200.0,4568999936.0,1394000000
72,BWA,BorgWarner,Consumer Discretionary,51.3355267528,30897203200.0,4568999936.0,1394000000
73,BXP,Boston Properties,Real Estate,31.6235801883,30897203200.0,4568999936.0,1394000000
74,BSX,Boston Scientific,Health Care,106.49908199,30897203200.0,4568999936.0,1394000000
75,BMY,Bristol-Myers Squibb,Health Care,17.9714652186,30897203200.0,4568999936.0,1394000000
76,AVGO,Broadcom,Information Technology,61.1732948293,30897203200.0,4568999936.0,1394000000
77,BF.B,Brown-Forman Corp.,Consumer Staples,0.0,30897203200.0,4568999936.0,1394000000
78,CHRW,C. H. Robinson Worldwide,Industrials,13.6305443691,30897203200.0,4568999936.0,1394000000
79,CA,"CA, Inc.",Information Technology,14.8346577762,30897203200.0,4568999936.0,1394000000
80,COG,Cabot Oil & Gas,Energy,-24.4896339514,30897203200.0,4568999936.0,1394000000
81,CPB,Campbell Soup,Consumer Staples,18.2116628714,30897203200.0,4568999936.0,1394000000
82,COF,Capital One Financial,Financials,14.1326211277,30897203200.0,4568999936.0,1394000000
83,CAH,Cardinal Health Inc.,Health Care,14.9566938654,30897203200.0,4568999936.0,1394000000
84,KMX,Carmax Inc,Consumer Discretionary,23.4497388365,30897203200.0,4568999936.0,1394000000
85,CCL,Carnival Corp.,Consumer Discretionary,18.9968069853,30897203200.0,4568999936.0,1394000000
86,CAT,Caterpillar Inc.,Industrials,166.312279453,30897203200.0,4568999936.0,1394000000
87,CBOE,CBOE Holdings,Financials,41.4184979334,30897203200.0,4568999936.0,1394000000
88,CBG,CBRE Group,Real Estate,15.2107426122,30897203200.0,4568999936.0,1394000000
89,CBS,CBS Corp.,Consumer Discretionary,13.1651612692,30897203200.0,4568999936.0,1394000000
90,CELG,Celgene Corp.,Health Care,42.9254369254,30897203200.0,4568999936.0,1394000000
91,CNC,Centene Corporation,Health Care,14.5993796565,30897203200.0,4568999936.0,1394000000
92,CNP,CenterPoint Energy,Utilities,19.2537494386,30897203200.0,4568999936.0,1394000000
93,CTL,CenturyLink Inc,Telecommunications Services,15.3145287938,30897203200.0,4568999936.0,1394000000
94,CERN,Cerner,Health Care,0.0,30897203200.0,4568999936.0,1394000000
95,CF,CF Industries Holdings Inc,Materials,0.0,30897203200.0,4568999936.0,1394000000
96,SCHW,Charles Schwab Corporation,Financials,0.0,30897203200.0,4568999936.0,1394000000
97,CHTR,Charter Communications,Consumer Discretionary,0.0,30897203200.0,4568999936.0,1394000000
98,CHK,Chesapeake Energy,Energy,0.0,30897203200.0,4568999936.0,1394000000
99,CVX,Chevron Corp.,Energy,0.0,30897203200.0,4568999936.0,1394000000
100,CMG,Chipotle Mexican Grill,Consumer Discretionary,226.923491056,30897203200.0,4568999936.0,1394000000
101,CB,Chubb Limited,Financials,14.3192045566,30897203200.0,4568999936.0,1394000000
102,CHD,Church & Dwight,Consumer Staples,0.0,30897203200.0,4568999936.0,1394000000
103,CI,CIGNA Corp.,Health Care,17.2608186479,30897203200.0,4568999936.0,1394000000
104,XEC,Cimarex Energy,Energy,-19.9217370256,30897203200.0,4568999936.0,1394000000
105,CINF,Cincinnati Financial,Financials,15.149056222,30897203200.0,4568999936.0,1394000000
106,CTAS,Cintas Corporation,Industrials,22.2076050485,30897203200.0,4568999936.0,1394000000
107,CSCO,Cisco Systems,Information Technology,14.1084573486,30897203200.0,4568999936.0,1394000000
108,C,Citigroup Inc.,Financials,19.164100346,30897203200.0,4568999936.0,1394000000
109,CFG,Citizens Financial Group,Financials,18.1111222032,30897203200.0,4568999936.0,1394000000
110,CTXS,Citrix Systems,Information Technology,19.7395617254,30897203200.0,4568999936.0,1394000000
111,CME,CME Group Inc.,Financials,18.6128575074,30897203200.0,4568999936.0,1394000000
112,CMS,CMS Energy,Utilities,18.6938657567,30897203200.0,4568999936.0,1394000000
113,COH,Coach Inc.,Consumer Discretionary,17.4835850962,30897203200.0,4568999936.0,1394000000
114,KO,Coca Cola Company,Consumer Staples,27.6899945067,30897203200.0,4568999936.0,1394000000
115,CTSH,Cognizant Technology Solutions,Information Technology,17.9518290909,30897203200.0,4568999936.0,1394000000
116,CL,Colgate-Palmolive,Consumer Staples,18.5009831653,30897203200.0,4568999936.0,1394000000
117,CMCSA,Comcast Corp.,Consumer Discretionary,14.7592223084,30897203200.0,4568999936.0,1394000000
118,CMA,Comerica Inc.,Financials,23.6513480108,30897203200.0,4568999936.0,1394000000
119,CAG,ConAgra Foods Inc.,Consumer Staples,18.3781804973,30897203200.0,4568999936.0,1394000000
120,CXO,Concho Resources,Energy,-9.12935102561,30897203200.0,4568999936.0,1394000000
121,COP,ConocoPhillips,Energy,-18.0836430861,30897203200.0,4568999936.0,1394000000
122,ED,Consolidated Edison,Utilities,16.1104961576,30897203200.0,4568999936.0,1394000000
123,STZ,Constellation Brands,Consumer Staples,19.9464460807,30897203200.0,4568999936.0,1394000000
124,GLW,Corning Inc.,Information Technology,7.73490698104,30897203200.0,4568999936.0,1394000000
125,COST,Costco Co.,Consumer Staples,19.6632972964,30897203200.0,4568999936.0,1394000000
126,COTY,"Coty, Inc",Consumer Staples,-44.1531438143,30897203200.0,4568999936.0,1394000000
127,CCI,Crown Castle International Corp.,Real Estate,64.4897363756,30897203200.0,4568999936.0,1394000000
128,CSRA,CSRA Inc.,Information Technology,12.9648962585,30897203200.0,4568999936.0,1394000000
129,CSX,CSX Corp.,Industrials,17.0386160578,30897203200.0,4568999936.0,1394000000
130,CMI,Cummins Inc.,Industrials,14.187939922,30897203200.0,4568999936.0,1394000000
131,CVS,CVS Health,Consumer Staples,11.0115636679,30897203200.0,4568999936.0,1394000000
132,DHI,D. R. Horton,Consumer Discretionary,12.0370494511,30897203200.0,4568999936.0,1394000000
133,DHR,Danaher Corp.,Health Care,24.785545482,30897203200.0,4568999936.0,1394000000
134,DRI,Darden Restaurants,Consumer Discretionary,17.4389585062,30897203200.0,4568999936.0,1394000000
135,DVA,DaVita Inc.,Health Care,13.4566321467,30897203200.0,4568999936.0,1394000000
136,DE,Deere & Co.,Industrials,24.9115575031,30897203200.0,4568999936.0,1394000000
137,DLPH,Delphi Automotive,Consumer Discretionary,12.9485730707,30897203200.0,4568999936.0,1394000000
138,DAL,Delta Air Lines,Industrials,5.99107746697,30897203200.0,4568999936.0,1394000000
139,XRAY,Dentsply Sirona,Health Care,30.5659986577,30897203200.0,4568999936.0,1394000000
140,DVN,Devon Energy Corp.,Energy,-9.25110291288,30897203200.0,4568999936.0,1394000000
141,DLR,Digital Realty Trust,Real Estate,39.2728603854,30897203200.0,4568999936.0,1394000000
142,DFS,Discover Financial Services,Financials,11.0399013401,30897203200.0,4568999936.0,1394000000
143,DISCA,Discovery Communications-A,Consumer Discretionary,9.97179193676,30897203200.0,4568999936.0,1394000000
144,DISCK,Discovery Communications-C,Consumer Discretionary,0.0,30897203200.0,4568999936.0,1394000000
145,DG,Dollar General,Consumer Discretionary,11.3521820525,30897203200.0,4568999936.0,1394000000
146,DLTR,Dollar Tree,Consumer Discretionary,14.838549217,30897203200.0,4568999936.0,1394000000
147,D,Dominion Resources,Utilities,22.5343822378,30897203200.0,4568999936.0,1394000000
148,DOV,Dover Corp.,Industrials,20.3090191721,30897203200.0,4568999936.0,1394000000
149,DOW,Dow Chemical,Materials,19.5511809068,30897203200.0,4568999936.0,1394000000
150,DPS,Dr Pepper Snapple Group,Consumer Staples,14.9608311944,30897203200.0,4568999936.0,1394000000
151,DTE,DTE Energy Co.,Utilities,20.5581869778,30897203200.0,4568999936.0,1394000000
152,DD,Du Pont (E.I.),Materials,23.7672509975,30897203200.0,4568999936.0,1394000000
153,DUK,Duke Energy,Utilities,20.2098466888,30897203200.0,4568999936.0,1394000000
154,DNB,Dun & Bradstreet,Industrials,22.8139780288,30897203200.0,4568999936.0,1394000000
155,ETFC,E*Trade,Financials,15.6469992979,30897203200.0,4568999936.0,1394000000
156,EMN,Eastman Chemical,Materials,14.7506387239,30897203200.0,4568999936.0,1394000000
157,ETN,Eaton Corporation,Industrials,17.8291003775,30897203200.0,4568999936.0,1394000000
158,EBAY,eBay Inc.,Information Technology,13.7205830118,30897203200.0,4568999936.0,1394000000
159,ECL,Ecolab Inc.,Materials,24.1431469117,30897203200.0,4568999936.0,1394000000
160,EIX,Edison Int'l,Utilities,17.9449990898,30897203200.0,4568999936.0,1394000000
161,EW,Edwards Lifesciences,Health Care,32.5439788667,30897203200.0,4568999936.0,1394000000
162,EA,Electronic Arts,Information Technology,30.9799482711,30897203200.0,4568999936.0,1394000000
163,EMR,Emerson Electric Company,Industrials,17.0541419553,30897203200.0,4568999936.0,1394000000
164,ETR,Entergy Corp.,Utilities,-44.9329727473,30897203200.0,4568999936.0,1394000000
165,EVHC,Envision Healthcare,Health Care,0.0,30897203200.0,4568999936.0,1394000000
166,EOG,EOG Resources,Energy,-44.341748956,30897203200.0,4568999936.0,1394000000
167,EQT,EQT Corporation,Energy,0.0,30897203200.0,4568999936.0,1394000000
168,EFX,Equifax Inc.,Industrials,0.0,30897203200.0,4568999936.0,1394000000
169,EQIX,Equinix,Real Estate,0.0,30897203200.0,4568999936.0,1394000000
170,EQR,Equity Residential,Real Estate,0.0,30897203200.0,4568999936.0,1394000000
171,ESS,"Essex Property Trust, Inc.",Real Estate,0.0,30897203200.0,4568999936.0,1394000000
172,EL,Estee Lauder Cos.,Consumer Staples,0.0,30897203200.0,4568999936.0,1394000000
173,ES,Eversource Energy,Utilities,0.0,30897203200.0,4568999936.0,1394000000
174,EXC,Exelon Corp.,Utilities,0.0,30897203200.0,4568999936.0,1394000000
175,EXPE,Expedia Inc.,Consumer Discretionary,0.0,30897203200.0,4568999936.0,1394000000
176,EXPD,Expeditors Int'l,Industrials,0.0,30897203200.0,4568999936.0,1394000000
177,ESRX,Express Scripts,Health Care,9.88893787696,30897203200.0,4568999936.0,1394000000
178,EXR,Extra Space Storage,Real Estate,31.1231601382,30897203200.0,4568999936.0,1394000000
179,XOM,Exxon Mobil Corp.,Energy,43.8084956466,30897203200.0,4568999936.0,1394000000
180,FFIV,F5 Networks,Information Technology,13.4572152227,30897203200.0,4568999936.0,1394000000
181,FB,"Facebook, Inc.",Information Technology,39.6073658591,30897203200.0,4568999936.0,1394000000
182,FAST,Fastenal Co,Industrials,15.763720298,30897203200.0,4568999936.0,1394000000
183,FRT,Federal Realty Investment Trust,Real Estate,38.7944142466,30897203200.0,4568999936.0,1394000000
184,FDX,FedEx Corporation,Industrials,14.1700872599,30897203200.0,4568999936.0,1394000000
185,FIS,Fidelity National Information Services,Information Technology,30.8356009167,30897203200.0,4568999936.0,1394000000
186,FITB,Fifth Third Bancorp,Financials,15.792563137,30897203200.0,4568999936.0,1394000000
187,FSLR,First Solar Inc,Information Technology,-12.035911409,30897203200.0,4568999936.0,1394000000
188,FE,FirstEnergy Corp,Utilities,-4.5574427234,30897203200.0,4568999936.0,1394000000
189,FISV,Fiserv Inc,Information Technology,21.1323969513,30897203200.0,4568999936.0,1394000000
190,FLIR,FLIR Systems,Information Technology,19.5370729862,30897203200.0,4568999936.0,1394000000
191,FLS,Flowserve Corporation,Industrials,24.7483799025,30897203200.0,4568999936.0,1394000000
192,FLR,Fluor Corp.,Industrials,11.2966280171,30897203200.0,4568999936.0,1394000000
193,FMC,FMC Corporation,Materials,31.3981074113,30897203200.0,4568999936.0,1394000000
194,FTI,FMC Technologies Inc.,Energy,19.5963549443,30897203200.0,4568999936.0,1394000000
195,FL,Foot Locker Inc,Consumer Discretionary,4.87673153785,30897203200.0,4568999936.0,1394000000
196,F,Ford Motor,Consumer Discretionary,24.8541210632,30897203200.0,4568999936.0,1394000000
197,FTV,Fortive Corp,Industrials,20.7070372777,30897203200.0,4568999936.0,1394000000
198,FBHS,Fortune Brands Home & Security,Industrials,17.4891467681,30897203200.0,4568999936.0,1394000000
199,BEN,Franklin Resources,Financials,9.68767374985,30897203200.0,4568999936.0,1394000000
200,FCX,Freeport-McMoRan Inc.,Materials,-17.5547826246,30897203200.0,4568999936.0,1394000000
201,FTR,Frontier Communications,Telecommunications Services,20.8449105198,30897203200.0,4568999936.0,1394000000
202,GPS,Gap (The),Consumer Discretionary,8.9004013211,30897203200.0,4568999936.0,1394000000
203,GRMN,Garmin Ltd.,Consumer Discretionary,15.34009309,30897203200.0,4568999936.0,1394000000
204,GD,General Dynamics,Industrials,15.0059291893,30897203200.0,4568999936.0,1394000000
205,GE,General Electric,Industrials,24.8025375055,30897203200.0,4568999936.0,1394000000
206,GGP,General Growth Properties Inc.,Real Estate,19.5801721909,30897203200.0,4568999936.0,1394000000
207,GIS,General Mills,Consumer Staples,17.930514391,30897203200.0,4568999936.0,1394000000
208,GM,General Motors,Consumer Discretionary,11.7278322298,30897203200.0,4568999936.0,1394000000
209,GPC,Genuine Parts,Consumer Discretionary,12.3325053751,30897203200.0,4568999936.0,1394000000
210,GILD,Gilead Sciences,Health Care,7.42558966347,30897203200.0,4568999936.0,1394000000
211,GPN,Global Payments Inc,Information Technology,44.2701644709,30897203200.0,4568999936.0,1394000000
212,GS,Goldman Sachs Group,Financials,28.0908225882,30897203200.0,4568999936.0,1394000000
213,GT,Goodyear Tire & Rubber,Consumer Discretionary,8.69673439899,30897203200.0,4568999936.0,1394000000
214,GWW,Grainger (W.W.) Inc.,Industrials,10.8119117221,30897203200.0,4568999936.0,1394000000
215,HAL,Halliburton Co.,Energy,-6.01542709718,30897203200.0,4568999936.0,1394000000
216,HBI,Hanesbrands Inc,Consumer Discretionary,18.2638993771,30897203200.0,4568999936.0,1394000000
217,HOG,Harley-Davidson,Consumer Discretionary,14.1845592736,30897203200.0,4568999936.0,1394000000
218,HAR,Harman Int'l Industries,Consumer Discretionary,0.0,30897203200.0,4568999936.0,1394000000
219,HRS,Harris Corporation,Information Technology,23.6116808866,30897203200.0,4568999936.0,1394000000
220,HIG,Hartford Financial Svc.Gp.,Financials,21.8006863062,30897203200.0,4568999936.0,1394000000
221,HAS,Hasbro Inc.,Consumer Discretionary,17.3233751364,30897203200.0,4568999936.0,1394000000
222,HCA,HCA Holdings,Health Care,9.19985954764,30897203200.0,4568999936.0,1394000000
223,HCP,HCP Inc.,Real Estate,26.1677717507,30897203200.0,4568999936.0,1394000000
224,HP,Helmerich & Payne,Energy,-105.42411384,30897203200.0,4568999936.0,1394000000
225,HSIC,Henry Schein,Health Care,19.0772005768,30897203200.0,4568999936.0,1394000000
226,HES,Hess Corporation,Energy,-5.5362771149,30897203200.0,4568999936.0,1394000000
227,HPE,Hewlett Packard Enterprise,Information Technology,9.09500507379,30897203200.0,4568999936.0,1394000000
228,HOLX,Hologic,Health Care,24.8189761234,30897203200.0,4568999936.0,1394000000
229,HD,Home Depot,Consumer Discretionary,15.2450372701,30897203200.0,4568999936.0,1394000000
230,HON,Honeywell Int'l Inc.,Industrials,18.6653136429,30897203200.0,4568999936.0,1394000000
231,HRL,Hormel Foods Corp.,Consumer Staples,12.3875345444,30897203200.0,4568999936.0,1394000000
232,HST,Host Hotels & Resorts,Real Estate,17.8042471461,30897203200.0,4568999936.0,1394000000
233,HPQ,HP Inc.,Information Technology,10.6199437511,30897203200.0,4568999936.0,1394000000
234,HUM,Humana Inc.,Health Care,24.3063456864,30897203200.0,4568999936.0,1394000000
235,HBAN,Huntington Bancshares,Financials,24.6745674581,30897203200.0,4568999936.0,1394000000
236,IDXX,IDEXX Laboratories,Health Care,42.1123030956,30897203200.0,4568999936.0,1394000000
237,ITW,Illinois Tool Works,Industrials,17.4912967835,30897203200.0,4568999936.0,1394000000
238,ILMN,Illumina Inc,Health Care,52.8773366938,30897203200.0,4568999936.0,1394000000
239,INCY,Incyte,Health Care,0.0,30897203200.0,4568999936.0,1394000000
240,IR,Ingersoll-Rand PLC,Industrials,0.0,30897203200.0,4568999936.0,1394000000
241,INTC,Intel Corp.,Information Technology,0.0,30897203200.0,4568999936.0,1394000000
242,ICE,Intercontinental Exchange,Financials,19.9907650929,30897203200.0,4568999936.0,1394000000
243,IBM,International Business Machines,Information Technology,13.8102382617,30897203200.0,4568999936.0,1394000000
244,IP,International Paper,Materials,22.9265670244,30897203200.0,4568999936.0,1394000000
245,IPG,Interpublic Group,Consumer Discretionary,10.6108448306,30897203200.0,4568999936.0,1394000000
246,IFF,Intl Flavors & Fragrances,Materials,22.3554537112,30897203200.0,4568999936.0,1394000000
247,INTU,Intuit Inc.,Information Technology,29.5452474313,30897203200.0,4568999936.0,1394000000
248,ISRG,Intuitive Surgical Inc.,Health Care,38.8286768026,30897203200.0,4568999936.0,1394000000
249,IVZ,Invesco Ltd.,Financials,14.71587328,30897203200.0,4568999936.0,1394000000
250,IRM,Iron Mountain Incorporated,Real Estate,36.9808459806,30897203200.0,4568999936.0,1394000000
251,JBHT,J. B. Hunt Transport Services,Industrials,16.2733401249,30897203200.0,4568999936.0,1394000000
252,JEC,Jacobs Engineering Group,Industrials,22.6097155403,30897203200.0,4568999936.0,1394000000
253,SJM,JM Smucker,Consumer Staples,16.5886672684,30897203200.0,4568999936.0,1394000000
254,JNJ,Johnson & Johnson,Health Care,18.6807241081,30897203200.0,4568999936.0,1394000000
255,JCI,Johnson Controls International,Industrials,27.1405050611,30897203200.0,4568999936.0,1394000000
256,JPM,JPMorgan Chase & Co.,Financials,20.5363676977,30897203200.0,4568999936.0,1394000000
257,JNPR,Juniper Networks,Information Technology,15.0688852405,30897203200.0,4568999936.0,1394000000
258,KSU,Kansas City Southern,Industrials,17.645246081,30897203200.0,4568999936.0,1394000000
259,K,Kellogg Co.,Consumer Staples,23.4215786587,30897203200.0,4568999936.0,1394000000
260,KEY,KeyCorp,Financials,28.849594279,30897203200.0,4568999936.0,1394000000
261,KMB,Kimberly-Clark,Consumer Staples,15.4764041538,30897203200.0,4568999936.0,1394000000
262,KIM,Kimco Realty,Real Estate,39.7795164542,30897203200.0,4568999936.0,1394000000
263,KMI,Kinder Morgan,Energy,49.8095255287,30897203200.0,4568999936.0,1394000000
264,KLAC,KLA-Tencor Corp.,Information Technology,13.5986673191,30897203200.0,4568999936.0,1394000000
265,KSS,Kohl's Corp.,Consumer Discretionary,9.6153392257,30897203200.0,4568999936.0,1394000000
266,KHC,Kraft Heinz Co,Consumer Staples,21.1058943459,30897203200.0,4568999936.0,1394000000
267,KR,Kroger Co.,Consumer Staples,9.77050970896,30897203200.0,4568999936.0,1394000000
268,LB,L Brands Inc.,Consumer Discretionary,7.7308477244,30897203200.0,4568999936.0,1394000000
269,LLL,L-3 Communications Holdings,Industrials,17.3151908302,30897203200.0,4568999936.0,1394000000
270,LH,Laboratory Corp. of America Holding,Health Care,16.692208848,30897203200.0,4568999936.0,1394000000
271,LRCX,Lam Research,Information Technology,16.2057662636,30897203200.0,4568999936.0,1394000000
272,LEG,Leggett & Platt,Consumer Discretionary,13.860096,30897203200.0,4568999936.0,1394000000
273,LEN,Lennar Corp.,Consumer Discretionary,14.2674283283,30897203200.0,4568999936.0,1394000000
274,LUK,Leucadia National Corp.,Financials,23.9461626894,30897203200.0,4568999936.0,1394000000
275,LVLT,Level 3 Communications,Telecommunications Services,21.987673268,30897203200.0,4568999936.0,1394000000
276,LLY,Lilly (Eli) & Co.,Health Care,28.429082556,30897203200.0,4568999936.0,1394000000
277,LNC,Lincoln National,Financials,11.5065099877,30897203200.0,4568999936.0,1394000000
278,LLTC,Linear Technology Corp.,Information Technology,0.0,30897203200.0,4568999936.0,1394000000
279,LKQ,LKQ Corporation,Consumer Discretionary,18.0234999843,30897203200.0,4568999936.0,1394000000
280,LMT,Lockheed Martin Corp.,Industrials,18.2580432712,30897203200.0,4568999936.0,1394000000
281,L,Loews Corp.,Financials,18.1493133913,30897203200.0,4568999936.0,1394000000
282,LOW,Lowe's Cos.,Consumer Discretionary,15.3768547525,30897203200.0,4568999936.0,1394000000
283,LYB,LyondellBasell,Materials,8.78970758577,30897203200.0,4568999936.0,1394000000
284,MTB,M&T Bank Corp.,Financials,13.7646961169,30897203200.0,4568999936.0,1394000000
285,MAC,Macerich,Real Estate,19.8079745196,30897203200.0,4568999936.0,1394000000
286,M,Macy's Inc.,Consumer Discretionary,9.64047400758,30897203200.0,4568999936.0,1394000000
287,MNK,Mallinckrodt Plc,Health Care,15.1585731521,30897203200.0,4568999936.0,1394000000
288,MRO,Marathon Oil Corp.,Energy,-13.6499088065,30897203200.0,4568999936.0,1394000000
289,MPC,Marathon Petroleum,Energy,21.3089437366,30897203200.0,4568999936.0,1394000000
290,MAR,Marriott Int'l.,Consumer Discretionary,32.7250468829,30897203200.0,4568999936.0,1394000000
291,MMC,Marsh & McLennan,Financials,17.1090568393,30897203200.0,4568999936.0,1394000000
292,MLM,Martin Marietta Materials,Materials,21.55329925,30897203200.0,4568999936.0,1394000000
293,MAS,Masco Corp.,Industrials,13.9381211256,30897203200.0,4568999936.0,1394000000
294,MA,Mastercard Inc.,Information Technology,25.5348599728,30897203200.0,4568999936.0,1394000000
